function	ALC_19	ALC_20	CIR_18	CIR_19	ERR844085	ERR844086	IL_18	Met9_18	My_20	PR9_18	Pty_20	SRR2029458	SRR2029459	SRR2029460	SRR2071024	SRR2071075	SRR7135742	SRR7135743	V3_20	VT_20
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	1266.5	1729.5	123.0	113.0	26163.0	225.0	3653.0	1935.0	2979.5	1486.0	385.5	432.88	1507.5	2015.88	103373.33	149224.34	14471.5	20314.0	1155.5	90538.8
RIBULP3EPIM-RXN	11235.75	33409.67	7026.0	23032.5	50709.34	434.67	7841.25	7367.83	24015.83	6042.5	31624.17	27229.8	24859.17	27471.62	318910.16	832615.77	99187.05	83464.59	22932.72	90923.8
RIBULPEPIM-RXN	275.0	543.0	281.0	1202.0	1486.51	26.0	1094.0	13.0	4152.0	47.0	898.0	920.0	2938.67	3245.83	112166.41	330500.59	24517.0	18718.17	540.66	495.4
RNA-3-PHOSPHATE-CYCLASE-RXN	9.0	285.0	219.5	142.0	2134.34	57849.0	0.0	0.0	124.0	0.0	429.0	576.5	693.5	1011.0	8181.33	19121.7	987.17	1082.17	74.83	0.0
RNA-DIRECTED-DNA-POLYMERASE-RXN	575.0	17.67	0.0	0.0	1423.83	43.67	9.5	625.33	36.5	593.0	0.0	59.67	0.0	199.16	9397.74	17958.54	1588.91	1176.5	48.88	48.8
RNA-LIGASE-ATP-RXN	6898.75	14325.17	939.5	1564.5	11041.0	58098.67	4381.5	2047.83	17508.0	1399.5	10426.0	13436.42	15360.84	12808.0	125960.08	392880.08	25679.5	38796.17	13270.16	45159.0
RR-BUTANEDIOL-DEHYDROGENASE-RXN	24.0	179.0	219.5	128.0	1571.5	63.0	0.0	146.0	141.0	14.0	429.0	747.44	1785.5	1839.27	31530.5	55813.61	835.33	1099.0	1555.0	471.0
RUBREDOXIN--NAD+-REDUCTASE-RXN	1224.0	437.34	250.5	160.0	1210.0	56.0	2.75	1353.66	124.0	1500.0	49.0	812.5	326.5	840.0	2313.5	15268.5	352.0	678.75	56.5	0.0
RXN-0	38.0	2.0	219.5	155.0	27066.5	111.0	9.5	13.0	208.5	0.0	90.0	400.5	1468.0	2073.58	13189.75	40315.63	10314.0	2981.0	7472.1	0.0
RXN-1	12907.5	22629.5	315.0	1190.0	8253.66	88.67	2327.0	1163.5	1312.0	1242.5	1544.0	1530.17	4102.17	2063.0	150831.83	375577.84	23189.0	37962.5	367.0	0.0
RXN-10	11235.75	33409.67	7000.0	23029.5	50597.5	58283.67	6464.75	7277.83	23979.33	6042.5	31553.17	26479.36	24859.17	27304.85	305304.99	788266.16	98861.72	81339.59	22756.72	45740.4
RXN-10000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	1586.0	0.0	0.0	51.83	0.0
RXN-10001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	103.08	0.0
RXN-10002	383.0	1566.0	0.0	0.0	61.0	0.0	0.0	191.0	0.0	68.5	0.0	0.0	0.0	340.0	417.5	1792.0	0.0	0.0	237.33	0.0
RXN-10003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	592.0	0.0	0.0	10.33	0.0
RXN-10009	0.0	0.0	0.0	0.0	1312.17	57827.34	9.5	0.0	36.5	0.0	0.0	94.34	0.0	706.33	23435.91	30165.36	4140.58	972.5	635.38	0.0
RXN-10020	110.0	187.5	196.5	373.5	122.0	0.0	241.5	1037.5	18770.5	37.5	2907.0	12482.5	10052.5	9060.0	15343.5	17295.5	5810.0	10550.0	1504.0	0.0
RXN-10022	110.0	187.5	196.5	373.5	122.0	0.0	241.5	1037.5	18770.5	37.5	2907.0	12482.5	10052.5	9060.0	15343.5	17295.5	5810.0	10550.0	1504.0	0.0
RXN-10023	110.0	187.5	196.5	373.5	122.0	0.0	241.5	1037.5	18770.5	37.5	2907.0	12482.5	10052.5	9060.0	15343.5	17295.5	5810.0	10550.0	1504.0	0.0
RXN-10024	110.0	187.5	196.5	373.5	122.0	0.0	241.5	1037.5	18770.5	37.5	2907.0	12482.5	10052.5	9060.0	15343.5	17295.5	5810.0	10550.0	1504.0	0.0
RXN-10025	110.0	187.5	196.5	373.5	122.0	0.0	241.5	1037.5	18770.5	37.5	2907.0	12482.5	10052.5	9060.0	15343.5	17295.5	5810.0	10550.0	1504.0	0.0
RXN-10026	110.0	187.5	196.5	373.5	122.0	0.0	241.5	1037.5	18770.5	37.5	2907.0	12482.5	10052.5	9060.0	15343.5	17295.5	5810.0	10550.0	1504.0	0.0
RXN-10029	16.0	243.0	0.0	87.0	271.0	0.0	242.0	416.0	1884.0	51.0	197.0	174.0	0.0	0.0	32.0	104.0	0.0	0.0	0.0	0.0
RXN-10031	0.0	0.0	0.0	0.0	29.0	57812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.16	3504.0	62.0	17.0	0.0	0.0
RXN-10032	0.0	0.0	0.0	0.0	29.0	57812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	350.83	3370.5	62.0	17.0	0.0	0.0
RXN-10035	9119.25	20912.67	6259.0	21249.0	19688.0	255.67	7005.5	4186.33	2441.0	4196.5	20777.0	11495.36	9527.5	13543.77	58070.38	161117.53	19191.55	28718.67	772.21	519.8
RXN-10040	549.5	2089.5	984.0	758.0	4230.83	72.0	7069.75	307.0	19595.0	70.0	14152.0	1224.44	1476.5	4360.44	35561.51	54021.99	1858.0	8050.75	3354.0	24.4
RXN-10041	6424.0	10035.0	151.0	216.0	297.5	72.0	23.0	502.0	0.0	826.0	556.0	746.0	1409.0	835.5	10736.5	49910.88	7821.0	11857.0	163.0	0.0
RXN-10042	6424.0	10035.0	151.0	216.0	297.5	72.0	23.0	502.0	0.0	826.0	556.0	746.0	1409.0	835.5	10736.5	49910.88	7821.0	11857.0	163.0	0.0
RXN-10043	6424.0	10035.0	151.0	216.0	297.5	72.0	23.0	502.0	0.0	826.0	556.0	746.0	1409.0	835.5	10736.5	49910.88	7821.0	11857.0	163.0	0.0
RXN-10044	6424.0	10035.0	151.0	216.0	297.5	72.0	23.0	502.0	0.0	826.0	556.0	746.0	1409.0	835.5	10736.5	49910.88	7821.0	11857.0	163.0	0.0
RXN-10045	6424.0	10035.0	151.0	216.0	297.5	72.0	23.0	502.0	0.0	826.0	556.0	746.0	1409.0	835.5	10736.5	49910.88	7821.0	11857.0	163.0	0.0
RXN-10046	6424.0	10035.0	151.0	216.0	297.5	72.0	23.0	502.0	0.0	826.0	556.0	746.0	1409.0	835.5	10736.5	49910.88	7821.0	11857.0	163.0	0.0
RXN-10047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	1.0	1.55	0.0	0.0	0.0	0.0
RXN-10048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	1.0	1.55	0.0	0.0	0.0	0.0
RXN-10049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	1.0	1.55	0.0	0.0	0.0	0.0
RXN-10050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	1.0	1.55	0.0	0.0	0.0	0.0
RXN-10051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	1.0	1.55	0.0	0.0	0.0	0.0
RXN-10052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	1.0	1.55	0.0	0.0	0.0	0.0
RXN-10053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.66	601.0	0.0	0.0	0.0	45159.0
